id	output
["0x5438e884c621d5db08fA605B53ca04c5B33a623A",130]	150
["0xc2026f3fb6fc51F4EcAE40a88b4509cB6C143ed4",130]	10000
["0xDaC26c3ffe00ad0656f8Cd8752186d2f7D9ae789",130]	500
["0x308Df3F80b07C73680F1eCC411EF4d52235e0e80",130]	500
["0x31bAfd5D04580F71a808ae646BB787d38e9362f9",130]	100
["0x95A0deC1E4fE633AEA5AD725375071a3a9F24501",130]	300
["0x41Efd838041eE4D530C9a6826b65Be88f2aec999",130]	400
["0x9D9eE4DCa4B15Ae69Ad1F93fcE1C6896A7e13aB1",130]	400
["0x5c7E1F0dCFA6D4F300C55BaB41f27289c88A202A",130]	100
["0x735AC9EB60E9988147A6A3e79893C90D5B6b2f9F",130]	100
["0xC6b8E3559feb231d7769c12872FFBE95c3E20Ff7",130]	300
["0xA3d3b11efF5f9B01F743cD6403aB066887292d43",130]	100
["0x4DD903018D8e474c38c2daafdb6BDf0F62A40E75",130]	300
